Time	Amplitude
1,544625950E+3	1,199518363E+0
1,544626000E+3	1,328110238E+0
1,544626050E+3	1,729196304E+0
1,544626100E+3	1,538240927E+0
1,544626150E+3	1,620101877E+0
1,544626200E+3	1,564668464E+0
1,544626250E+3	1,624936190E+0
1,544626300E+3	1,505045382E+0
1,544626350E+3	1,471849857E+0
1,544626400E+3	1,530344898E+0
1,544626450E+3	1,634765959E+0
1,544626500E+3	1,520031718E+0
1,544626550E+3	1,344224527E+0
1,544626600E+3	1,535984919E+0
1,544626650E+3	1,508912823E+0
1,544626700E+3	1,412065733E+0
1,544626750E+3	1,193233805E+0
1,544626800E+3	1,400463431E+0
1,544626850E+3	1,311673668E+0
1,544626900E+3	1,256562846E+0
1,544626950E+3	1,311834810E+0
1,544627000E+3	1,186304677E+0
1,544627050E+3	1,164711585E+0
1,544627100E+3	9,088178419E-1
1,544627150E+3	1,058518794E+0
1,544627200E+3	1,044499424E+0
1,544627250E+3	9,051115788E-1
1,544627300E+3	9,062395719E-1
1,544627350E+3	8,707883672E-1
1,544627400E+3	8,561244643E-1
1,544627450E+3	7,837718375E-1
1,544627500E+3	7,020730619E-1
1,544627550E+3	6,928879969E-1
1,544627600E+3	6,845086401E-1
1,544627650E+3	6,079664709E-1
1,544627700E+3	5,684868475E-1
1,544627750E+3	5,375477240E-1
1,544627800E+3	5,605909246E-1
1,544627850E+3	5,083811619E-1
1,544627900E+3	4,307111247E-1
1,544627950E+3	4,613279387E-1
1,544628000E+3	3,876864560E-1
1,544628050E+3	3,833356476E-1
1,544628100E+3	3,760843005E-1
1,544628150E+3	3,681883896E-1
1,544628200E+3	3,660935562E-1
1,544628250E+3	3,075993732E-1
1,544628300E+3	3,082439371E-1
1,544628350E+3	2,900350085E-1
1,544628400E+3	2,608684988E-1
1,544628450E+3	2,706980954E-1
1,544628500E+3	2,462046753E-1
1,544628550E+3	2,357305165E-1
1,544628600E+3	1,910944924E-1
1,544628650E+3	2,039857618E-1
1,544628700E+3	1,907722107E-1
1,544628750E+3	1,711130265E-1
1,544628800E+3	1,762695336E-1
1,544628850E+3	1,569326325E-1
1,544628900E+3	1,506481400E-1
1,544628950E+3	1,298609739E-1
1,544629000E+3	1,345340576E-1
1,544629050E+3	1,435579436E-1
1,544629100E+3	1,187422579E-1
1,544629150E+3	1,142303154E-1
1,544629200E+3	9,602140525E-2
1,544629250E+3	9,666596841E-2
1,544629300E+3	9,892193951E-2
1,544629350E+3	9,747167238E-2
1,544629400E+3	8,458040931E-2
1,544629450E+3	8,667523951E-2
1,544629500E+3	7,781249647E-2
1,544629550E+3	8,796436580E-2
1,544629600E+3	6,443781210E-2
1,544629650E+3	6,717720523E-2
1,544629700E+3	6,878861296E-2
1,544629750E+3	6,540465673E-2
1,544629800E+3	5,944244823E-2
1,544629850E+3	6,379324901E-2
1,544629900E+3	5,686419595E-2
1,544629950E+3	5,476936599E-2
1,544630000E+3	5,638077365E-2
1,544630050E+3	5,202997299E-2
1,544630100E+3	4,800145392E-2
1,544630150E+3	5,154655070E-2
1,544630200E+3	4,961286154E-2
1,544630250E+3	4,848487620E-2
1,544630300E+3	4,510092023E-2
1,544630350E+3	4,719575011E-2
1,544630400E+3	4,461749795E-2
1,544630450E+3	5,009628383E-2
1,544630500E+3	4,606776479E-2
1,544630550E+3	4,558434251E-2
1,544630600E+3	4,622890555E-2
1,544630650E+3	4,526206098E-2
1,544630700E+3	3,913871217E-2
